No.,Latin name (previous version),name change,Genus,species,Genus_species,notes about information,Common Name,Nest shape,Location/Position,Nest Size,Exposure,jpd exposure,jmai exposure,old exposure,nathanvs. old,nathanv.jpd,jpdvs.old,icterus all three,Dichromatic,Total Delta S (Price & Eaton 2014),Egg Incubation,Brooding,Feeding,Sexual Behavior,Misc.,Citations
30,Agelaius cyanopus,agelasticus ,Agelasticus,cyanopus,Agelasticus_cyanopus,,Unicolored Blackbird ,cup,"within 2 m of ground, in marsh brush",,1,1,,1,,,,,1,225.6,,,,,colonial,"New World Blackbirds: Babarskas and Lopez Lanus 1993 (nesting), De la Pena 1987 (nesting)"
31,Agelaius thilius,agelasticus ,Agelasticus,thilius,Agelasticus_thilius,,Yellow-winged Blackbird ,cup,placed in cups of pampas grass or cattails,,1,1,,1,,,,,1,33.5,Female,Female,Both,Monogamous,,"New World Blackbirds: De la Pena 1987 (nesting), Orians 1980 (behavior,nesting)"
32,Agelaius icterocephalus,genus chrysomus,Chrysomus,icterocephalus,Chrysomus_icterocephalus,,Yellow-hooded Blackbird ,cup,"in marshes, anchored to reeds, 0.5 m above water",,1,1,,1,,,,,1,276.8,Female,Female,both (mostly females),"Polygynous.Males build nests before females arrives, try to woo them. Also, surprisingly high number of predators preying on nests compared to other marshes","Males construct the nest! Lots of battles with cowbirds. Males chase off female cowbirds, females can recognize egg within 24 hours, may roll it out or cover it up. If 3 cowbird eggs in nest, will abandon. Entire colony may abandon as well.","New World Blackbirds: Cruz et al. 1990 (nesting), Hilty and Brown 1986 (nesting), Wiley and Wiley 1980 (behavior,nesting)"
33,Agelaius ruficapillus,genus chrysomus,Chrysomus,ruficapillus,Chrysomus_ruficapillus,,Chestnut-capped Blackbird ,cup,"marshes, 1 m above water surface",,1,1,,1,,,,,1,186.7,Female,Female,Female,Unknown,colonial,"New World Blackbirds: Belton 1985 (behavior, nesting), Klimaitis 1973 (behavior, nesting)"
34,Agelaius phoeniceus,,Agelaius,phoeniceus,Agelaius_phoeniceus,,Red-winged Blackbird ,cup,"Everywhere, usually","""12.2 cm (9.5–16.0 cm), mean height 11.2 cm (6.5–18.0 cm), mean inside diameter 7.5 cm (6.0–9.5 cm), mean depth 6.5 cm (4.0–8.5 cm)""",1,1,,1,,,,,1,222.1,Female,Female,Both,Polygynous,"Male black with red wing, female cryptic brown","Yasukawa, Ken and William A. Searcy. 1995. Red-winged Blackbird (Agelaius phoeniceus), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/184
doi:10.2173/bna.184"
35,Agelaius phoeniceus gubernator,,Agelaius,phoeniceus_gubernator,Agelaius_phoeniceus_gubernator,sub.spp,,cup,"Everywhere, usually","""12.2 cm (9.5–16.0 cm), mean height 11.2 cm (6.5–18.0 cm), mean inside diameter 7.5 cm (6.0–9.5 cm), mean depth 6.5 cm (4.0–8.5 cm)""",1,1,,1,,,,,1,,Female,Female,Both,Polygynous,"""Similar to Agelaius phoeniceus""",New World Blackbirds.
36,Agelaius tricolor,,Agelaius,tricolor,Agelaius_tricolor,,Tricolored Blackbird ,cup,bound to upright plant stems from  a few cm to a 1.5 m above ground. Also in canopies of oak trees,,1,1,,1,,,,,1,206.3,Female,No info,Both,Some are polygynous,colonial,"Beedy, Edward C. and William J. Hamilton, Iii. 1999. Tricolored Blackbird (Agelaius tricolor), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/423
doi:10.2173/bna.423"
37,Agelaius humeralis,,Agelaius,humeralis,Agelaius_humeralis,,Tawny-shouldered Blackbird ,cup,"in dense tree, as high as 50 m up",,1,1,,1,,,,,0,30.5,Female,Female,Both,Monogamous,,"New World Blackbirds: Barbour 1943 (nesting),Gundlach 1876 (habitat, behavior, nesting), Wetmore and Lincoln 1933 (nesting), Whittingham et al. 1996 (description, habitat, nesting, behavior)"
38,Agelaius assimilis,,Agelaius,assimilis,Agelaius_assimilis,,Red-shouldered Blackbird ,"built into tall reed beds, 0.2 m above water",,,1,1,,1,,,,,1,117.5,Female,Female,Both,Monogamous,,"New World Blackbirds: Barbour 1943 (nesting), Garcia 1987 (nesting, behavior), Gundlach et al. 1996 (nesting, behavior)"
39,Agelaius xanthomus,,Agelaius,xanthomus,Agelaius_xanthomus,,Yellow-shouldered Blackbird ,Tree cavities or open cups,,,1,?,,1,,x,x,,0,53.3,Female,Female,Both,Monogamous,colonial,"New World Blackbirds: Barnes 1946 (habitat, nesting),Collar et al.1992 (behavior,nesting),Post 1981a (habitat, behavior, nesting), Post and Wiley 1976 (nesting), Wiley et al. 1991 (nesting)"
40,Sturnella militaris,,Sturnella,militaris,Sturnella_militaris,,Red-breasted Blackbird ,open basket,on the ground,Often has overhanging grass,1,1,,1,,,,,1,,,,,Polygynous,colonial,"New World Blackbirds: Belcher and Smooker 1937 (nesting), Rodriguez 1982 (nesting),Hilty and Brown 1986 (nesting)"
41,Sturnella superciliaris,,Sturnella,superciliaris,Sturnella_superciliaris,,White-browed Blackbird ,nest covered by grasses (concealed),on the ground,,0,0,,0,,,,,1,,,,,,,"New World Blackbirds: Belton 1985 (behavior), De la Pena 1987 (nesting)"
42,Sturnella bellicosa,,Sturnella,bellicosa,Sturnella_bellicosa,,Peruvian Meadowlark ,"ground nest, domed ",placed near bush,,0,0,,0,,,,,1,,,,,Unknown,,"New World Blackbirds: Johnson and Goodall 1965 (nesting), Marchant 1960 (nesting)"
43,Sturnella defillippi,,Sturnella,defilippii,Sturnella_defilippii,,Pampas Meadowlark ,woven grass nest,ground,,1,0,,1,,x,x,,1,,,,,,,"New World Blackbirds: De la Pena 1989 (nesting), Gochfeld 1979a and 1979b (habitat, behavior, nesting)"
44,Sturnella loyca,,Sturnella,loyca,Sturnella_loyca,,Long-tailed Meadowlark ,"ground nest, domed ",ground,1 meter long entrance tunnel,0,0,,0,,,,,1,,Female,Female,Both,,,"New World Blackbirds: De la Pena 1987 (nesting), Gochfeld 1979 (habitat, behavior, nestnig), Millie 1938 (nesting), Woods and Woods 1997 (habitat and nesting)"
45,Sturnella magna,,Sturnella,magna,Sturnella_magna,,Eastern Meadowlark ,"ground nest, domed with grasses","""Outside diameter 14–21 cm; inside diameter 8–15 cm; inside depth 5–8 cm. Entrance tunnel, when present, 8–12 cm in diameter""",ground,0,0,,0,,,,,0,,Female,Female,Mostly female,Polygynous,"Chest is bright yellow, the rest is cryptic browns and greys","Jaster, Levi A., William E. Jensen and Wesley E. Lanyon. 2012. Eastern Meadowlark (Sturnella magna), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/160
doi:10.2173/bna.160"
46,Sturnella magna lilianae,,Sturnella,magna_lilianae,Sturnella_magna_lilianae,sub.spp,,"ground nest, domed ",,,0,0,,0,,,,,0,,,,,,Similar to Sturnella magnella,New World Blackbirds
